Task_ID,Processing_Time,Required_RAM,Required_CPU,Required_Storage
1,170,1370,1.31,353
2,37,2665,3.22,33
3,891,6248,0.53,337
4,828,7718,0.61,69
5,489,2649,2.24,459
6,870,3448,2.67,24
7,132,4150,0.57,232
8,270,4796,1.05,214
9,865,7862,1.49,478
10,814,3802,1.11,362
11,39,3221,2.28,384
12,189,4846,0.19,401
13,562,284,3.04,203
14,793,1975,1.48,199
15,956,7239,0.93,246
16,980,7025,1.3,45
17,548,6616,1.3,99
18,268,6329,1.83,51
19,52,6104,0.38,208
20,979,6277,0.65,262
21,930,2269,0.39,48
22,567,6466,3.4,284
23,47,1602,2.62,337
24,625,4397,0.47,342
25,413,3780,1.96,271
26,211,6034,0.33,82
27,944,6528,2.35,376
28,222,7492,2.21,280
29,89,6132,1.34,342
30,709,3904,2.39,420
31,72,3598,2.43,453
32,357,3522,2.05,394
33,27,2654,3.22,75
34,623,6805,2.99,369
35,97,2642,2.33,137
36,479,6125,1.08,33
37,289,1554,1.32,436
38,332,1205,1.4,273
39,269,7388,0.72,373
40,68,5609,0.92,281
41,854,3227,1.7,258
42,471,5830,1.94,383
43,832,5854,2.99,476
44,553,3416,3.23,6
45,520,6812,2.26,122
46,113,7689,0.7,330
47,969,2066,1.27,432
48,448,5510,1.81,429
49,77,2084,0.6,49
50,117,1537,3.85,227
51,527,4143,1.49,369
52,104,4263,1.06,191
53,894,4227,3.81,168
54,434,2630,2.53,317
55,671,3400,0.78,12
56,545,4497,0.19,42
57,842,7646,2.91,393
58,81,6754,1.37,184
59,518,3998,1.99,320
60,588,5147,2.8,492
61,519,1909,0.24,197
62,302,6112,2.19,344
63,399,4949,2.59,86
64,578,772,3.19,182
65,129,4753,0.56,92
66,894,6789,2.16,372
67,274,4657,0.32,468
68,310,4173,1.85,293
69,435,6015,2.14,410
70,196,5489,0.74,298
71,769,5946,0.97,220
72,939,4150,3.82,343
73,747,6133,3.76,63
74,973,154,2.51,23
75,731,8023,3.11,284
76,690,2362,1.48,315
77,686,8095,0.8,171
78,517,6950,3.85,92
79,992,1958,2.14,357
80,510,3555,0.64,20
81,750,227,1.15,434
82,858,5515,0.93,123
83,355,1015,3.98,263
84,957,4599,1.73,305
85,259,7676,0.44,145
86,447,3922,0.69,54
87,102,7021,1.24,275
88,784,6033,1.56,390
89,754,4240,1.54,252
90,284,3570,1.4,464
91,48,3025,0.38,277
92,505,2294,2.23,113
93,737,1894,3.63,337
94,602,266,1.92,79
95,806,4769,0.72,312
96,629,1861,3.82,127
97,763,2534,1.73,126
98,865,496,3.08,129
99,735,3878,3.34,260
100,423,3060,0.33,457
